disease,num_targets,avg_score,top_protein
capillary infantile hemangioma,1,0.629,P35916
Columnar Cell Hyperplasia of the Breast,1,0.033,P42679
immunodeficiency 82 with systemic inflammation,1,0.609,P43405
prostatitis,1,0.397,P06493
Donohue syndrome,1,0.759,P06213
non-syndromic X-linked intellectual disability,1,0.37,P51812
Chronic mucocutaneous candidosis,1,0.073,P45984
response to antihypertensive drug,1,0.235,P45983
Abnormal central motor function,1,0.092,P45984
Pallister-Hall syndrome,1,0.075,P45984
endometriosis,1,0.074,P45984
discoid lupus erythematosus,1,0.074,P45984
glycogen storage disease due to lactate dehydrogenase H-subunit deficiency,1,0.074,P45984
developmental and epileptic encephalopathy,1,0.37,P53350
cervical squamous cell carcinoma,1,0.512,P28482
hearing loss,1,0.334,P53779
color vision disorder,1,0.316,P53779
nervous system disease,1,0.26,P53779
Lennox-Gastaut syndrome,1,0.252,P53779
chronic graft versus host disease,1,0.297,Q13464
