disease,num_targets,avg_score
Macrocephaly,1,0.333
systemic scleroderma,1,0.484
autoimmune thrombocytopenic purpura,1,0.547
connective tissue disease,1,0.393
Rett syndrome,1,0.335
Coffin-Lowry syndrome,1,0.834
"intellectual disability, X-linked 19",1,0.772
X-linked non-syndromic intellectual disability,1,0.706
Motor delay,1,0.37
colitis,1,0.489
Decreased circulating immunoglobulin concentration,1,0.564
Iron deficiency anemia,1,0.188
hypoinsulinemic hypoglycemia and body hemihypertrophy,1,0.787
visual impairment and progressive phthisis bulbi,1,0.401
Total congenital cataract,1,0.769
Posterior polar cataract,1,0.769
early-onset non-syndromic cataract,1,0.68
immunodeficiency 35,1,0.756
Autosomal recessive hyper-IgE syndrome due to TYK2 deficiency,1,0.603
AKT2-related familial partial lipodystrophy,1,0.383
Immunodeficiency,1,0.569
Familial partial lipodystrophy due to AKT2 mutations,1,0.382
lymphatic malformation 1,1,0.79
"congenital heart defects, multiple types, 7",1,0.765
capillary infantile hemangioma,1,0.629
Columnar Cell Hyperplasia of the Breast,1,0.033
immunodeficiency 82 with systemic inflammation,1,0.609
prostatitis,1,0.397
Donohue syndrome,1,0.759
non-syndromic X-linked intellectual disability,1,0.37
Chronic mucocutaneous candidosis,1,0.073
response to antihypertensive drug,1,0.235
Abnormal central motor function,1,0.092
Pallister-Hall syndrome,1,0.075
endometriosis,1,0.074
discoid lupus erythematosus,1,0.074
glycogen storage disease due to lactate dehydrogenase H-subunit deficiency,1,0.074
developmental and epileptic encephalopathy,1,0.37
cervical squamous cell carcinoma,1,0.512
hearing loss,1,0.334
color vision disorder,1,0.316
nervous system disease,1,0.26
Lennox-Gastaut syndrome,1,0.252
chronic graft versus host disease,1,0.297
iridocyclitis,1,0.291
muscle cramp,1,0.306
Specific learning disability,1,0.514
Cachexia,1,0.3
"leukoencephalopathy, diffuse hereditary, with spheroids 1",1,0.839
severe combined immunodeficiency due to IKK2 deficiency,1,0.787
immunodeficiency 15a,1,0.648
autoimmune disorder of musculoskeletal system,1,0.398
cocoon syndrome,1,0.674
Bartsocas-Papas syndrome 1,1,0.403
severe combined immunodeficiency due to LCK deficiency,1,0.761
Hereditary diffuse leukoencephalopathy with axonal spheroids and pigmented glia,1,0.832
Noonan syndrome 13,1,0.581
"brain abnormalities, neurodegeneration, and dysosteosclerosis",1,0.785
"leukoencephalopathy, hereditary diffuse, with spheroids",1,0.565
"tenosynovial giant cell tumor, diffuse type",1,0.525
cardiofaciocutaneous syndrome 1,1,0.763
Noonan syndrome 7,1,0.759
LEOPARD syndrome 3,1,0.756
Moyamoya disease,1,0.259
Abnormality of the integument,1,0.227
Rabson-Mendenhall syndrome,1,0.82
bone osteosarcoma,1,0.711
multiple congenital anomalies/dysmorphic syndrome-intellectual disability,1,0.483
adrenal gland hyperfunction,1,0.306
renal dysplasia,1,0.266
imperforate anus,1,0.266
Hereditary breast cancer,1,0.727
hereditary breast carcinoma,1,0.727
CHEK2-related cancer predisposition,1,0.666
knee injury,1,0.276
hereditary sensory and autonomic neuropathy type 4,1,0.858
spinocerebellar ataxia type 14,1,0.79
hereditary ataxia,1,0.334
cerebellar ataxia,1,0.265
Leprechaunism,1,0.845
insulin-resistance syndrome type A,1,0.845
bone fracture,1,0.274
osteoporosis,1,0.282
scleritis,1,0.225
movement disorder,1,0.074
oocyte/zygote/embryo maturation arrest 21,1,0.478
Male infertility due to gonadal dysgenesis or sperm disorder,1,0.266
unspecified peripheral T-cell lymphoma,1,0.259
Breast hypertrophy,1,0.309
generalized dystonia,1,0.296
hypopituitarism,1,0.265
"intellectual disability, autosomal recessive 59",1,0.074
morbid obesity,1,0.298
schizophrenia 15,1,0.074
attention deficit-hyperactivity disorder 8,1,0.074
myeloproliferative disorder,1,0.724
Splenomegaly,1,0.688
essential thrombocythemia,1,0.633
basal cell carcinoma,1,0.318
symptomatic form of Coffin-Lowry syndrome in female carriers,1,0.37
Mayer-Rokitansky-Kuster-Hauser syndrome,1,0.074
megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2,1,0.805
Male infertility with spermatogenesis disorder due to single gene mutation,1,0.074
spermatogenic failure 65,1,0.09
spermatogenic failure 58,1,0.09
spermatogenic failure 79,1,0.09
temporal lobe epilepsy,1,0.038
ovulation,1,0.027
NK-cell enteropathy,1,0.259
Female infertility due to fertilization defect,1,0.072
spermatogenic failure 11,1,0.091
Rare genetic female infertility,1,0.069
spermatogenic failure 3,1,0.061
spermatogenic failure 55,1,0.061
spermatogenic failure 26,1,0.058
spermatogenic failure 87,1,0.058
spermatogenic failure 53,1,0.058
spermatogenic failure 10,1,0.091
congenital myasthenic syndrome,1,0.182
inborn disorder of amino acid metabolism,1,0.043
cystitis,1,0.07
ganglioglioma,1,0.375
congenital mesoblastic nephroma,1,0.374
"obesity, hyperphagia, and developmental delay",1,0.731
pilocytic astrocytoma,1,0.376
patterned macular dystrophy 3,1,0.547
patterned macular dystrophy,1,0.37
autosomal recessive ataxia due to ubiquinone deficiency,1,0.333
neurocardiofaciodigital syndrome,1,0.694
coenzyme Q10 deficiency,1,0.333
stomach disease,1,0.314
