SMILES,MolecularWeight,LogP,TPSA,HBD,HBA,RotatableBonds,Suitability
O=C1CCC(c2ccccc2)(C2CCN(Cc3ccccc3)CC2)C(=O)N1,362.47,3.27,49.41,1.0,3.0,4.0,0
C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,282.34,2.39,53.99,0.0,5.0,0.0,0
N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1,347.38,2.65,138.07,5.0,4.0,4.0,0
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1,363.37,1.66,107.44,2.0,7.0,1.0,0
O=C1NC(=O)C2(N1)c1cc(F)ccc1-c1ccc(F)cc12,286.24,2.03,58.2,2.0,2.0,0.0,0
CCN(CC)CCNC(=O)c1cc(Cl)c(NC(=O)COc2ccc(Cl)cc2)cc1OC,468.38,4.09,79.9,2.0,5.0,11.0,0
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(O)ccc3nc2-1,364.36,1.79,101.65,2.0,7.0,1.0,0
O=C(O)Cn1c(=O)n(Cc2ccc(Br)cc2F)c(=O)c2ccc(Cl)cc21,441.64,2.85,81.3,1.0,5.0,4.0,0
O=C(O)Cc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c2ccccc12,419.38,3.7,85.08,1.0,6.0,4.0,0
O=C1CC2(C(=O)N1)C(=O)N(Cc1ccc(Br)cc1F)C(=O)c1ccc(F)cc12,449.21,2.19,83.55,1.0,4.0,2.0,0
c1ccc2c(c1)cc1n2CCCNC1,186.26,2.13,16.96,1.0,2.0,0.0,0
Cc1ccc2c(c1)CC(=O)c1cc(C(C)C(=O)O)ccc1O2,296.32,3.71,63.6,1.0,3.0,2.0,0
CC(C)[C@@H](CN1CC[C@@](C)(c2cccc(O)c2)[C@@H](C)C1)NC(=O)[C@H]1Cc2ccc(O)cc2CN1,465.64,3.55,84.83,4.0,5.0,6.0,0
COC1=C(N)C(=O)c2nc(-c3nc(C(=O)O)c(C)c(-c4ccc(OC)c(OC)c4O)c3N)ccc2C1=O,506.47,2.32,197.18,4.0,11.0,6.0,0
Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC=O)cn3C)cn2C)cc1C(=O)NCCC(=N)N,481.52,0.83,181.06,6.0,8.0,10.0,0
CCCCCCCN(CCCCCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)C(=O)Nc1ccc(F)cc1F,590.78,9.79,61.02,2.0,3.0,16.0,0
CN(C(=O)c1c(O)c2ccccc2n(C)c1=O)c1ccccc1,308.34,2.52,62.54,1.0,4.0,2.0,0
Cc1ccc(C)n1Nc1ccc(N2CCOCC2)nn1,273.34,1.61,55.21,1.0,6.0,3.0,0
NCCc1ccc(O)cc1,137.18,0.89,46.25,2.0,2.0,2.0,0
COc1nc(C(Cl)(Cl)Cl)c(Cl)c(OC)c1Cl,325.41,4.23,31.35,0.0,3.0,2.0,0
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,275.35,1.77,44.81,1.0,4.0,1.0,0
N[C@@H](CC(=O)O)C(=O)O,133.1,-1.13,100.62,3.0,3.0,3.0,0
N[C@@H](CO)C(=O)O,105.09,-1.61,83.55,3.0,3.0,2.0,0
COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.[Cl-],336.37,3.1,40.8,0.0,4.0,2.0,0
CN1c2c([nH]c(N)nc2=O)NCC1CCNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,473.49,0.13,202.77,7.0,9.0,10.0,0
Cc1ccc(S(=O)(=O)C(CC#Cc2ccc(Cl)cc2)C(=O)O)cc1,362.83,3.32,71.44,1.0,3.0,4.0,0
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,309.41,3.42,30.29,0.0,4.0,7.0,0
CNC(=O)c1cccnc1,136.15,0.44,41.99,1.0,2.0,1.0,0
CN(C)CCc1c[nH]c2ccccc12,188.27,2.27,19.03,1.0,1.0,3.0,0
CC(C)NC[C@@H](O)COc1cccc2ccccc12,259.35,2.58,41.49,2.0,3.0,6.0,0
Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1NC(=O)c1cc(I)cc(I)c1O,663.08,7.12,73.12,2.0,3.0,4.0,0
CN1CCCC1=O,99.13,0.24,20.31,0.0,1.0,0.0,0
CNC(=O)NS(=O)(=O)c1ccc(CCNC(=O)c2cc(Cl)ccc2OC)cc1,425.89,1.94,113.6,3.0,5.0,7.0,0
CC1(C)Oc2ccc(S(=O)(=O)c3ccccc3)cc2[C@@H](N2CCCC2=O)[C@@H]1O,401.48,2.71,83.91,1.0,5.0,3.0,0
CNC(=S)NS(=O)(=O)c1cc(CCNC(=O)c2cc(Cl)ccc2OC)ccc1OC,471.99,2.11,105.76,3.0,6.0,8.0,0
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,184.11,1.21,106.51,1.0,5.0,2.0,0
CC1(C)C=C(n2ccccc2=O)c2cc(C#N)ccc2O1,278.31,2.78,55.02,0.0,4.0,1.0,0
O=P(O)(O)C(Cl)(Cl)P(=O)(O)O,244.89,0.43,115.06,4.0,2.0,2.0,0
CCCCCCCCCCCCCCC1(C(=O)OC)CO1,298.47,5.02,38.83,0.0,3.0,14.0,0
CCCCCCCCCCCCCCC1(C(=O)O)CO1,284.44,4.93,49.83,1.0,2.0,14.0,0
Cc1nc[nH]c1CSCCNC(=N)N[C@H](C)Cc1c[nH]cn1,321.45,1.42,105.27,5.0,4.0,8.0,0
Cc1cc(=O)oc2cc(O)ccc12,176.17,1.81,50.44,1.0,3.0,0.0,0
Cc1[nH]cnc1CSCCNC(=N)NCCCc1c[nH]cn1,321.45,1.42,105.27,5.0,4.0,9.0,0
C/N=C(/NC#N)NCCSCc1csc(NC(=N)N)n1,312.43,0.33,135.0,5.0,6.0,6.0,0
CCNC(C)Cc1ccccc1,163.26,2.23,12.03,1.0,1.0,4.0,0
CNC(=S)NCCSCc1[nH]cnc1C,244.39,1.05,52.74,3.0,3.0,5.0,0
Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,477.58,5.48,37.61,0.0,5.0,5.0,0
CC1CCC(NC(=O)N(CCCl)N=O)CC1,247.73,2.5,61.77,1.0,3.0,4.0,0
NCCCC(=O)O,103.12,-0.19,63.32,2.0,2.0,3.0,0
CN1C[C@@H](NS(=O)(=O)N(C)C)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,362.5,1.29,57.58,1.0,4.0,3.0,0
C[C@@H]1CN(CCCn2c3ccccc3c3ccccc32)C[C@H](C)N1,321.47,3.87,20.2,1.0,3.0,4.0,0
C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,332.34,3.43,40.8,0.0,4.0,0.0,0
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C=O)[C@@H](C(=O)CO)CC[C@@H]12,360.45,1.85,91.67,2.0,5.0,3.0,0
